Year,Country,Code,Currency,Region,Decade,CPI,Exchange_Rate,Interest_Rate,Inflation
1945,Indonesia,IDN,IDR,Asia,1940s,0.0165,0.0625,0.2878,0.0136
1946,Indonesia,IDN,IDR,Asia,1940s,0.017,0.0644,0.2737,0.0136
1947,Indonesia,IDN,IDR,Asia,1940s,0.0171,0.0647,0.2408,0.0142
1948,Indonesia,IDN,IDR,Asia,1940s,0.0175,0.0662,0.228,0.0146
1949,Indonesia,IDN,IDR,Asia,1940s,0.0183,0.0693,0.2414,0.0149
1950,Indonesia,IDN,IDR,Asia,1950s,0.0177,0.067,0.2306,0.0144
1951,Indonesia,IDN,IDR,Asia,1950s,0.0188,0.0712,0.227,0.0156
1952,Indonesia,IDN,IDR,Asia,1950s,0.0183,0.0693,0.2168,0.0148
1953,Indonesia,IDN,IDR,Asia,1950s,0.0189,0.0715,0.2223,0.0158
1954,Indonesia,IDN,IDR,Asia,1950s,0.0184,0.0697,0.2148,0.0152
1955,Indonesia,IDN,IDR,Asia,1950s,0.0195,0.0738,0.2285,0.0161
1956,Indonesia,IDN,IDR,Asia,1950s,0.0186,0.0704,0.2147,0.0153
1957,Indonesia,IDN,IDR,Asia,1950s,0.0197,0.0746,0.2201,0.0162
1958,Indonesia,IDN,IDR,Asia,1950s,0.0196,0.0742,0.213,0.0162
1959,Indonesia,IDN,IDR,Asia,1950s,0.0192,0.0727,0.2072,0.016
1960,Indonesia,IDN,IDR,Asia,1960s,0.0206,0.078,0.2185,0.0169
1961,Indonesia,IDN,IDR,Asia,1960s,0.0203,0.0768,0.2132,0.0167
1962,Indonesia,IDN,IDR,Asia,1960s,0.02,0.0757,0.2079,0.0163
1963,Indonesia,IDN,IDR,Asia,1960s,0.0206,0.078,0.2114,0.0165
1964,Indonesia,IDN,IDR,Asia,1960s,0.0206,0.078,0.2087,0.0173
1965,Indonesia,IDN,IDR,Asia,1960s,0.0208,0.0787,0.2073,0.017
1966,Indonesia,IDN,IDR,Asia,1960s,0.0212,0.0803,0.2055,0.0172
1967,Indonesia,IDN,IDR,Asia,1960s,0.0205,0.0776,0.1927,0.0168
1968,Indonesia,IDN,IDR,Asia,1960s,0.0219,0.0829,0.1976,0.0182
1969,Indonesia,IDN,IDR,Asia,1960s,0.0213,0.0806,0.1822,0.0173
1970,Indonesia,IDN,IDR,Asia,1970s,0.0221,0.0837,0.1789,0.0176
1971,Indonesia,IDN,IDR,Asia,1970s,0.0244,0.0924,0.1892,0.0197
1972,Indonesia,IDN,IDR,Asia,1970s,0.0277,0.1049,0.2081,0.0225
1973,Indonesia,IDN,IDR,Asia,1970s,0.0322,0.1219,0.2277,0.0268
1974,Indonesia,IDN,IDR,Asia,1970s,0.0346,0.131,0.2204,0.0285
1975,Indonesia,IDN,IDR,Asia,1970s,0.0372,0.1408,0.2171,0.0311
1976,Indonesia,IDN,IDR,Asia,1970s,0.0408,0.1544,0.2252,0.0328
1977,Indonesia,IDN,IDR,Asia,1970s,0.0452,0.1711,0.2342,0.0369
1978,Indonesia,IDN,IDR,Asia,1970s,0.0497,0.1881,0.2394,0.0405
1979,Indonesia,IDN,IDR,Asia,1970s,0.0537,0.2033,0.2323,0.0441
1980,Indonesia,IDN,IDR,Asia,1980s,0.0597,0.226,0.2275,0.0483
1981,Indonesia,IDN,IDR,Asia,1980s,0.0581,0.2199,0.2007,0.0469
1982,Indonesia,IDN,IDR,Asia,1980s,0.0621,0.2351,0.2021,0.0508
1983,Indonesia,IDN,IDR,Asia,1980s,0.0633,0.2396,0.1996,0.0534
1984,Indonesia,IDN,IDR,Asia,1980s,0.064,0.2423,0.1934,0.053
1985,Indonesia,IDN,IDR,Asia,1980s,0.0644,0.2438,0.1879,0.0518
1986,Indonesia,IDN,IDR,Asia,1980s,0.0675,0.2555,0.1934,0.0562
1987,Indonesia,IDN,IDR,Asia,1980s,0.0656,0.2483,0.1813,0.0535
1988,Indonesia,IDN,IDR,Asia,1980s,0.0704,0.2665,0.1869,0.0586
1989,Indonesia,IDN,IDR,Asia,1980s,0.0715,0.2707,0.1811,0.0571
1990,Indonesia,IDN,IDR,Asia,1990s,0.0718,0.2718,0.1725,0.0594
1991,Indonesia,IDN,IDR,Asia,1990s,0.0787,0.2979,0.1814,0.0631
1992,Indonesia,IDN,IDR,Asia,1990s,0.0881,0.3335,0.1972,0.0699
1993,Indonesia,IDN,IDR,Asia,1990s,0.0985,0.3729,0.214,0.0832
1994,Indonesia,IDN,IDR,Asia,1990s,0.1078,0.4081,0.2284,0.0887
1995,Indonesia,IDN,IDR,Asia,1990s,0.1204,0.4558,0.2481,0.0979
1996,Indonesia,IDN,IDR,Asia,1990s,0.1245,0.4713,0.2492,0.1005
1997,Indonesia,IDN,IDR,Asia,1990s,0.1286,0.4868,0.2516,0.105
1998,Indonesia,IDN,IDR,Asia,1990s,0.1315,0.4978,0.2533,0.1118
1999,Indonesia,IDN,IDR,Asia,1990s,0.1422,0.5383,0.268,0.1152
2000,Indonesia,IDN,IDR,Asia,2000s,0.1392,0.5269,0.2538,0.1125
2001,Indonesia,IDN,IDR,Asia,2000s,0.1539,0.5826,0.2729,0.1259
2002,Indonesia,IDN,IDR,Asia,2000s,0.1777,0.6727,0.3102,0.1514
2003,Indonesia,IDN,IDR,Asia,2000s,0.1993,0.7544,0.3401,0.1653
2004,Indonesia,IDN,IDR,Asia,2000s,0.2207,0.8354,0.3669,0.1817
2005,Indonesia,IDN,IDR,Asia,2000s,0.2512,0.9509,0.4039,0.2081
2006,Indonesia,IDN,IDR,Asia,2000s,0.3106,1.1757,0.4838,0.2579
2007,Indonesia,IDN,IDR,Asia,2000s,0.382,1.446,0.5786,0.3096
2008,Indonesia,IDN,IDR,Asia,2000s,0.4633,1.7538,0.6757,0.3746
2009,Indonesia,IDN,IDR,Asia,2000s,0.4876,1.8458,0.7138,0.402
2010,Indonesia,IDN,IDR,Asia,2010s,0.4773,1.8068,0.6872,0.3858
2011,Indonesia,IDN,IDR,Asia,2010s,0.5074,1.9207,0.7084,0.4291
2012,Indonesia,IDN,IDR,Asia,2010s,0.5268,1.9942,0.7204,0.4303
2013,Indonesia,IDN,IDR,Asia,2010s,0.5427,2.0543,0.7314,0.4413
2014,Indonesia,IDN,IDR,Asia,2010s,0.5717,2.1641,0.7584,0.4659
2015,Indonesia,IDN,IDR,Asia,2010s,0.639,2.4189,0.8466,0.5217
2016,Indonesia,IDN,IDR,Asia,2010s,0.63,2.3848,0.8243,0.5246
2017,Indonesia,IDN,IDR,Asia,2010s,0.6248,2.3651,0.8004,0.5173
2018,Indonesia,IDN,IDR,Asia,2010s,0.6483,2.4541,0.8107,0.5313
2019,Indonesia,IDN,IDR,Asia,2010s,0.6652,2.5181,0.8169,0.5637
2020,Indonesia,IDN,IDR,Asia,2020s,0.6804,2.5756,0.8255,0.5666
2021,Indonesia,IDN,IDR,Asia,2020s,0.6901,2.6123,0.7996,0.5697
2022,Indonesia,IDN,IDR,Asia,2020s,0.739,2.7974,0.7928,0.6088
2023,Indonesia,IDN,IDR,Asia,2020s,0.7894,2.9882,0.8135,0.644
2024,Indonesia,IDN,IDR,Asia,2020s,0.766,2.8996,0.766,0.6249
